N,run,C,k
30,42,1.3999396578831746,20
30,43,1.4142162040119854,20
30,44,1.4178500353648744,20
30,45,1.4145357786139572,20
30,46,1.3940854466441193,20
30,47,1.422239167526067,20
30,48,1.4000287524508401,20
30,49,1.4134913238647093,20
30,50,1.4199582964649349,20
30,51,1.4205238854136488,20
30,52,1.4060581021895675,20
30,53,1.4137332302802945,20
30,54,1.4154719772394222,20
30,55,1.415381863017678,20
30,56,1.3931921156199827,20
30,57,1.4112170784280176,20
30,58,1.3913747446464937,20
30,59,1.4147517916472245,20
30,60,1.4159931022835552,20
30,61,1.4158922116862136,20
30,62,1.4217290113770162,20
30,63,1.4171062317033714,20
30,64,1.414799783627924,20
30,65,1.41608830625001,20
30,66,1.392796306346747,20
30,67,1.397310346539898,20
30,68,1.421522888535726,20
30,69,1.4131115726848553,20
30,70,1.4191707165901952,20
30,71,1.4142705879180628,20
30,72,1.4183357688677476,20
30,73,1.416318067584628,20
30,74,1.4169455313057377,20
30,75,1.415426503420506,20
30,76,1.4017357027817727,20
30,77,1.4194943222714482,20
30,78,1.3988641883054291,20
30,79,1.4145989498314342,20
30,80,1.4129025382603366,20
30,81,1.3989715962901081,20
30,82,1.4158687989072567,20
30,83,1.4037865008355206,20
30,84,1.413616493403374,20
30,85,1.4064880653331038,20
30,86,1.3998957523036748,20
30,87,1.414665120254416,20
30,88,1.4203209562411983,20
30,89,1.4059986456006723,20
30,90,1.4161884319217433,20
30,91,1.3992196406382025,20
30,92,1.4122333769184878,20
30,93,1.4012945164357944,20
30,94,1.4140707956138907,20
30,95,1.4195600718506478,20
30,96,1.4190589072241298,20
30,97,1.4154530233628924,20
30,98,1.4139654677923672,20
30,99,1.405712763384759,20
30,100,1.4139985982740717,20
35,1,1.4217501225226268,20
35,2,1.415275152019964,20
35,3,1.4198332363469033,20
35,4,1.4207682341995174,20
35,5,1.4200772444801804,20
35,6,1.416067000001293,20
35,7,1.417145558254738,20
35,8,1.4178229717190272,20
35,9,1.4206184122319314,20
35,10,1.4200745651203979,20
35,11,1.4184983637019193,20
35,12,1.4181225515159432,20
35,13,1.4174971703305543,20
35,14,1.4172962161831753,20
35,15,1.4216980930242258,20
35,16,1.413527788194863,20
35,17,1.414096807300864,20
35,18,1.4169658648995886,20
35,19,1.4177007831385813,20
35,20,1.418689965680463,20
35,21,1.4191763226179268,20
35,22,1.4152914112325667,20
35,23,1.4158626020943756,20
35,24,1.4171340313440552,20
35,25,1.4188977065814263,20
35,26,1.420439306971932,20
35,27,1.4175518191585257,20
35,28,1.418065319640915,20
35,29,1.4167705565143869,20
35,30,1.4182794431280077,20
35,31,1.4175527955079072,20
35,32,1.4167739375905433,20
35,33,1.4206361760730417,20
35,34,1.4186268859525564,20
35,35,1.4177202058064653,20
35,36,1.4189948905053225,20
35,37,1.41442787194414,20
35,38,1.4215466148248606,20
35,39,1.4212924054967186,20
35,40,1.420466375104019,20
35,41,1.415884074815289,20
35,42,1.4199518786720058,20
35,43,1.4207559877660187,20
35,44,1.4163732781467393,20
35,45,1.4166778653138101,20
35,46,1.4182595509755858,20
35,47,1.4163066042656505,20
35,48,1.419972396449145,20
35,49,1.4191595047164676,20
35,50,1.4182748624403985,20
35,51,1.4191625736038072,20
35,52,1.4205472691799783,20
35,53,1.416294963425397,20
35,54,1.4164681447340035,20
35,55,1.419430475775524,20
35,56,1.4174635352452025,20
35,57,1.4221511110133471,20
35,58,1.4180920065845837,20
35,59,1.4149431785850997,20
35,60,1.4224624810330657,20
35,61,1.4184303404030163,20
35,62,1.4159367587100626,20
35,63,1.4173989552222648,20
35,64,1.4207030529109683,20
35,65,1.4178563523443255,20
35,66,1.4201335777490651,20
35,67,1.4181369248328957,20
35,68,1.419952229655461,20
35,69,1.4187156605940159,20
35,70,1.423081793926169,20
35,71,1.4133190251805894,20
35,72,1.420729639475394,20
35,73,1.4148415142978823,20
35,74,1.416103448735833,20
35,75,1.42334220633771,20
35,76,1.412381369863095,20
35,77,1.4220887467018055,20
35,78,1.4182250688299627,20
35,79,1.4176561229155706,20
35,80,1.4164787721692436,20
35,81,1.4217989715931763,20
35,82,1.4150071522429266,20
35,83,1.42217407049932,20
35,84,1.4187949194645928,20
35,85,1.4207611104558675,20
35,86,1.4175847373435186,20
35,87,1.4183343850002477,20
35,88,1.4146254091356414,20
35,89,1.4196226918283437,20
35,90,1.4170769850661407,20
35,91,1.4224249185168538,20
35,92,1.4162963022996646,20
35,93,1.423062678303449,20
35,94,1.418944463960227,20
35,95,1.4177982241138196,20
35,96,1.4202000729077127,20
35,97,1.420175711035902,20
35,98,1.4149845507682002,20
35,99,1.4181267888879194,20
35,100,1.4201107018899934,20
40,1,1.4026496164854023,20
40,2,1.4007025547192995,20
40,3,1.4206899099209525,20
40,4,1.417063035937668,20
40,5,1.4255702650889912,20
40,6,1.4228062969404593,20
40,7,1.421641463089995,20
40,8,1.419283016969652,20
40,9,1.4170608700017218,20
40,10,1.4169374464475206,20
40,11,1.4186787389572602,20
40,12,1.4184181161999732,20
40,13,1.4221333668662481,20
40,14,1.4162417664290072,20
40,15,1.4175538556889804,20
40,16,1.4186884139645843,20
40,17,1.418253125943545,20
40,18,1.419549883011116,20
40,19,1.4174855884223048,20
40,20,1.4197551432598035,20
40,21,1.4164684780692,20
40,22,1.4180758122179076,20
40,23,1.4167518368292316,20
40,24,1.4175411644389229,20
40,25,1.4203109699690586,20
40,26,1.425668693957553,20
40,27,1.4204019416798739,20
40,28,1.3936798738032,20
40,29,1.4216028207315963,20
40,30,1.418031619551492,20
40,31,1.4210030210112474,20
40,32,1.4197624266415747,20
40,33,1.4197268996481023,20
40,34,1.4176257546193614,20
40,35,1.414748286403059,20
40,36,1.417926375307543,20
40,37,1.4156233910337097,20
40,38,1.4151944129427245,20
40,39,1.4204199787843026,20
40,40,1.4175318392000553,20
40,41,1.4174462813464819,20
40,42,1.402548511662614,20
40,43,1.419503436628535,20
40,44,1.4230449562233112,20
40,45,1.4175912959868737,20
40,46,1.4191167103029128,20
40,47,1.421538807186283,20
40,48,1.4209499140014927,20
40,49,1.419575696153048,20
40,50,1.4233938522314016,20
40,51,1.4202637124498398,20
40,52,1.4191999748089712,20
40,53,1.418303616178723,20
40,54,1.4187355003037792,20
40,55,1.4202210242370237,20
40,56,1.420868854979991,20
40,57,1.4206752673394254,20
40,58,1.4171084771858848,20
40,59,1.4234598672756997,20
40,60,1.4245490394881823,20
40,61,1.4221136225817954,20
40,62,1.4176762327851262,20
40,63,1.3955607149783176,20
40,64,1.4032337254907903,20
40,65,1.4186378559627053,20
40,66,1.4195985199133347,20
40,67,1.420559079588409,20
40,68,1.4220509750213812,20
40,69,1.4199856600599623,20
40,70,1.418090940777193,20
40,71,1.42193459246465,20
40,72,1.4172756894924003,20
40,73,1.4203916938333179,20
40,74,1.4210770030440754,20
40,75,1.4175135787326911,20
40,76,1.4173101616502948,20
40,77,1.3959540282311567,20
40,78,1.4017740753498513,20
40,79,1.417739370989297,20
40,80,1.4209538564071211,20
40,81,1.4210289683098618,20
40,82,1.4214407621468506,20
40,83,1.4204367654136738,20
40,84,1.414932305023404,20
40,85,1.4167196655438028,20
40,86,1.4185068455344583,20
40,87,1.420746278597778,20
40,88,1.4218449567493283,20
40,89,1.4198658202465406,20
40,90,1.4194443752687456,20
40,91,1.4185689195140374,20
40,92,1.421164963905398,20
40,93,1.422563235087113,20
40,94,1.420684448948158,20
40,95,1.4169268100084274,20
40,96,1.41994733022981,20
40,97,1.420153158989891,20
40,98,1.4210459130806476,20
40,99,1.4176667994315846,20
40,100,1.419415103330632,20
45,1,1.4215148525129147,20
45,2,1.4209782852740207,20
45,3,1.4195847764754235,20
45,4,1.4196969001047801,20
45,5,1.4212970419629984,20
45,6,1.4177636450552604,20
45,7,1.422477913648908,20
45,8,1.418668553115053,20
45,9,1.4195423752369114,20
45,10,1.42327042074868,20
45,11,1.4227613581601646,20
45,12,1.421948817384343,20
45,13,1.4225206465888764,20
45,14,1.42094505476786,20
45,15,1.4237046494018901,20
45,16,1.4209305541123822,20
45,17,1.4182466032481993,20
45,18,1.4210761377816772,20
45,19,1.4197345174162113,20
45,20,1.420992426245583,20
45,21,1.4186548948185214,20
45,22,1.4211021153191832,20
45,23,1.4194220881130637,20
45,24,1.4184895941194542,20
45,25,1.4215943924698253,20
45,26,1.4206028499621877,20
45,27,1.4206048606745134,20
45,28,1.4184588081688747,20
45,29,1.4191234858910173,20
45,30,1.4197094398965926,20
45,31,1.4199460788502987,20
45,32,1.4192161481886778,20
45,33,1.422248360970347,20
